No_Hit,Age,Ever_Bankruptcy,Months_Since_Bankruptcy,Ever_Collection,Unpaid_Collection_Trades,Unpaid_Collection_Balance,Counseling_Last_12M,Unpaid_CO_84M,Delinq_90D_12M,Delinq_60D_12M,Delinq_60D_Curr,Delinq_30D_3M,Delinq_30D_Curr,Checking_Asset,Card_Inquiry_12M,Card_Open_24M,Personal_Loan,Unsecured_Debt,Revolving_Util,Income,Auth_User_Only,Student,Student_Loan_Amt,Ever_ChargeOff,ChargeOff_Balance,FICO_V,FICO_Imputed
0,21,0,0,0,0,0,0,0,0,0,0,0,0,1117,3,2.0,0,685.6,0.6203145852136334,39399,0,1,14066.5,0,,655.0,655
1,20,0,0,0,0,0,0,0,0,0,0,0,0,874,2,1.0,0,774.4000000000001,0.2293355952233685,53851,1,0,0.0,0,,,999
0,22,0,0,0,0,0,0,0,0,0,0,1,1,2141,3,0.0,0,326.0,0.1662609640087455,27343,0,0,0.0,0,,597.0,597
0,24,0,0,0,0,0,0,1,0,1,0,0,0,1876,0,2.0,0,247.0,0.0690397169452447,23521,0,0,0.0,0,,566.0,566
0,23,0,0,0,0,0,1,0,0,0,0,0,0,287,3,3.0,0,907.0,0.2947833043862532,54308,0,1,12540.0,0,,508.0,508
1,18,0,0,0,0,0,0,0,0,0,0,0,0,2490,1,2.0,0,663.2,0.3498370105280828,25150,0,0,0.0,0,,,999
1,25,0,0,1,0,0,1,0,1,1,1,0,1,1794,2,2.0,0,205.0,0.15082873377153,22991,0,0,0.0,1,,,999
1,21,0,0,0,0,0,0,0,0,0,0,0,0,166,1,2.0,1,1588.8000000000002,0.2058689640667505,51427,1,0,0.0,0,,,999
1,22,0,0,0,0,0,0,0,0,0,0,1,0,2571,3,1.0,1,1009.0,0.2097802762246368,18706,0,0,0.0,0,,,999
1,25,0,0,1,0,0,1,1,1,1,1,0,1,770,1,1.0,0,799.0,0.5434742988314505,34620,0,0,0.0,0,,,999
1,22,0,0,0,0,0,0,0,0,1,0,0,0,2475,0,1.0,0,627.0,0.4295873625912766,49154,0,0,0.0,0,,,999
0,20,0,0,1,0,0,0,1,0,0,0,1,0,1366,3,1.0,0,94.4,0.1377033647181783,47856,0,0,0.0,1,50.0,636.0,636
0,22,0,0,0,0,0,0,0,1,0,1,0,0,2341,1,2.0,0,36.0,0.2939377198304296,38551,0,0,0.0,0,,540.0,540
1,19,0,0,0,0,0,0,0,0,0,0,1,0,2506,0,0.0,0,655.2,0.0,31160,1,0,0.0,0,,,999
1,20,0,0,0,0,0,0,0,1,0,1,0,0,346,1,0.0,0,100.8,0.5004077173759174,45167,0,1,6550.599999999999,0,,,999
1,19,0,0,0,0,0,1,0,0,0,0,1,0,1477,2,0.0,0,488.8,0.0,24703,0,1,12645.5,0,,,999
0,21,0,0,0,0,0,1,0,0,1,0,1,1,2470,0,2.0,0,536.0,0.3620728671662178,53609,0,1,5488.0,0,,649.0,649
1,24,0,0,0,0,0,0,1,0,0,0,0,0,1972,3,0.0,0,477.0,0.4947442355449257,19209,0,0,0.0,0,,,999
1,18,0,0,0,0,0,1,0,1,0,0,1,0,2270,3,2.0,0,570.4,0.1559614386476227,29173,0,1,9055.9,1,,,999
1,19,0,0,0,0,0,0,0,0,0,0,0,0,932,2,0.0,0,491.2000000000001,0.1180589086102046,52171,0,1,10087.7,0,,,999
1,25,0,0,0,0,0,0,0,0,0,0,0,1,2140,0,1.0,0,8.0,0.292222603588576,19133,0,0,0.0,0,,,999
1,19,0,0,0,0,0,1,0,0,0,0,0,0,1307,1,0.0,0,532.0,0.0570218126981156,50262,0,0,0.0,0,,,999
0,19,0,0,0,0,0,0,1,0,0,0,0,0,464,2,0.0,0,432.0,0.104852152758751,53969,0,1,12007.1,0,,634.0,634
0,23,0,0,0,0,0,1,0,0,1,0,0,0,199,1,0.0,0,239.0,0.5010156703532997,33642,0,0,0.0,0,,561.0,561
1,18,0,0,0,0,0,0,1,0,0,0,0,1,1126,3,2.0,0,12.0,0.3264088635576649,51932,1,0,0.0,0,,,999
1,18,0,0,0,0,0,0,0,1,0,0,0,1,2533,1,0.0,0,700.8000000000001,0.30907897693981,52764,1,0,0.0,1,,,999
0,18,0,0,1,0,0,1,0,0,0,1,1,0,256,3,2.0,0,256.0,0.1644127465859003,37856,1,1,1791.3,1,,528.0,528
